"","Group","transcript","Start","Stop","Strand","ENSGACG","ENSGACT","OnLG","LG.roman","LG"
"71","groupIV","transcript",1377590,1383672,"+","ENSGACG00000016452","ENSGACT00000021767",TRUE,"IV",4
"72","groupIV","transcript",1388738,1416880,"-","ENSGACG00000016458","ENSGACT00000021774",TRUE,"IV",4
"73","groupIV","transcript",1429479,1436058,"-","ENSGACG00000016464","ENSGACT00000021780",TRUE,"IV",4
"74","groupIV","transcript",1429479,1436039,"-","ENSGACG00000016464","ENSGACT00000021781",TRUE,"IV",4
"75","groupIV","transcript",1429740,1436213,"-","ENSGACG00000016464","ENSGACT00000021784",TRUE,"IV",4
"76","groupIV","transcript",1525400,1527241,"-","ENSGACG00000016470","ENSGACT00000021786",TRUE,"IV",4
"77","groupIV","transcript",1784501,1786554,"-","ENSGACG00000016472","ENSGACT00000021787",TRUE,"IV",4
"78","groupIV","transcript",1788271,1792398,"-","ENSGACG00000016474","ENSGACT00000021791",TRUE,"IV",4
"79","groupIV","transcript",1788306,1792394,"-","ENSGACG00000016474","ENSGACT00000021793",TRUE,"IV",4
"80","groupIV","transcript",1795282,1798778,"+","ENSGACG00000016479","ENSGACT00000021799",TRUE,"IV",4
"81","groupIV","transcript",1939592,1942225,"+","ENSGACG00000016483","ENSGACT00000021804",TRUE,"IV",4
"82","groupIV","transcript",1940777,1941988,"+","ENSGACG00000016483","ENSGACT00000021805",TRUE,"IV",4
"83","groupIV","transcript",1941773,1942225,"+","ENSGACG00000016483","ENSGACT00000021806",TRUE,"IV",4
"84","groupIV","transcript",1958013,1969540,"+","ENSGACG00000016488","ENSGACT00000021813",TRUE,"IV",4
"85","groupIV","transcript",1966063,1970369,"+","ENSGACG00000016488","ENSGACT00000021816",TRUE,"IV",4
"86","groupIV","transcript",1976199,1985566,"-","ENSGACG00000016495","ENSGACT00000021817",TRUE,"IV",4
"87","groupIV","transcript",1992232,1996986,"-","ENSGACG00000016496","ENSGACT00000021820",TRUE,"IV",4
"88","groupIV","transcript",1999160,2011821,"-","ENSGACG00000016498","ENSGACT00000021828",TRUE,"IV",4
"89","groupIV","transcript",2023661,2028057,"-","ENSGACG00000016501","ENSGACT00000021840",TRUE,"IV",4
"90","groupIV","transcript",2035885,2036643,"-","ENSGACG00000016511","ENSGACT00000021843",TRUE,"IV",4
"91","groupIV","transcript",2044920,2048363,"-","ENSGACG00000016513","ENSGACT00000021857",TRUE,"IV",4
"92","groupIV","transcript",2053824,2152124,"-","ENSGACG00000016524","ENSGACT00000021869",TRUE,"IV",4
"93","groupIV","transcript",2084023,2093585,"-","ENSGACG00000016524","ENSGACT00000021873",TRUE,"IV",4
"94","groupIV","transcript",2084023,2093585,"-","ENSGACG00000016524","ENSGACT00000021874",TRUE,"IV",4
"95","groupIV","transcript",2194450,2203150,"+","ENSGACG00000016536","ENSGACT00000021886",TRUE,"IV",4
"96","groupIV","transcript",2203221,2209876,"-","ENSGACG00000016544","ENSGACT00000021892",TRUE,"IV",4
"97","groupIV","transcript",2235971,2247631,"-","ENSGACG00000016550","ENSGACT00000021899",TRUE,"IV",4
"98","groupIV","transcript",2274383,2291325,"+","ENSGACG00000016556","ENSGACT00000021902",TRUE,"IV",4
"99","groupIV","transcript",2299391,2332393,"+","ENSGACG00000016558","ENSGACT00000021918",TRUE,"IV",4
"100","groupIV","transcript",2299391,2332393,"+","ENSGACG00000016558","ENSGACT00000021919",TRUE,"IV",4
"101","groupIV","transcript",2366330,2370526,"-","ENSGACG00000016571","ENSGACT00000021927",TRUE,"IV",4
"102","groupIV","transcript",2371298,2376384,"+","ENSGACG00000016577","ENSGACT00000021931",TRUE,"IV",4
"103","groupIV","transcript",2392871,2421565,"+","ENSGACG00000016581","ENSGACT00000021936",TRUE,"IV",4
"104","groupIV","transcript",2425331,2434918,"+","ENSGACG00000016587","ENSGACT00000021963",TRUE,"IV",4
"105","groupIV","transcript",2426203,2434892,"+","ENSGACG00000016587","ENSGACT00000021965",TRUE,"IV",4
"106","groupIV","transcript",2434773,2439647,"-","ENSGACG00000016609","ENSGACT00000021984",TRUE,"IV",4
"107","groupIV","transcript",2464056,2509444,"+","ENSGACG00000016624","ENSGACT00000021994",TRUE,"IV",4
"108","groupIV","transcript",2496016,2509522,"+","ENSGACG00000016624","ENSGACT00000021997",TRUE,"IV",4
"109","groupIV","transcript",2500556,2509507,"+","ENSGACG00000016624","ENSGACT00000021999",TRUE,"IV",4
"110","groupIV","transcript",2582164,2682609,"-","ENSGACG00000016634","ENSGACT00000022005",TRUE,"IV",4
"111","groupIV","transcript",2582164,2682587,"-","ENSGACG00000016634","ENSGACT00000022008",TRUE,"IV",4
"112","groupIV","transcript",2582164,2680518,"-","ENSGACG00000016634","ENSGACT00000022009",TRUE,"IV",4
"113","groupIV","transcript",2694712,2702182,"+","ENSGACG00000016641","ENSGACT00000022011",TRUE,"IV",4
"114","groupIV","transcript",2724189,2775670,"+","ENSGACG00000016642","ENSGACT00000022014",TRUE,"IV",4
"115","groupIV","transcript",2804460,2817712,"+","ENSGACG00000016645","ENSGACT00000022018",TRUE,"IV",4
"116","groupIV","transcript",2811877,2817712,"+","ENSGACG00000016645","ENSGACT00000022020",TRUE,"IV",4
"117","groupIV","transcript",2820628,2854957,"+","ENSGACG00000016649","ENSGACT00000022025",TRUE,"IV",4
"118","groupIV","transcript",2860364,2861610,"-","ENSGACG00000016652","ENSGACT00000022028",TRUE,"IV",4
"119","groupIV","transcript",2860730,2861610,"-","ENSGACG00000016652","ENSGACT00000022032",TRUE,"IV",4
"120","groupIV","transcript",2864024,2864868,"+","ENSGACG00000016656","ENSGACT00000022033",TRUE,"IV",4
"121","groupIV","transcript",2869524,2878598,"-","ENSGACG00000016658","ENSGACT00000022040",TRUE,"IV",4
"122","groupIV","transcript",2880657,2882217,"+","ENSGACG00000016664","ENSGACT00000022042",TRUE,"IV",4
"123","groupIV","transcript",2881475,2882230,"+","ENSGACG00000016664","ENSGACT00000022043",TRUE,"IV",4
"124","groupIV","transcript",2887403,2890751,"-","ENSGACG00000016665","ENSGACT00000022051",TRUE,"IV",4
"125","groupIV","transcript",2887767,2890304,"-","ENSGACG00000016665","ENSGACT00000022054",TRUE,"IV",4
"126","groupIV","transcript",2891432,2897773,"-","ENSGACG00000016673","ENSGACT00000022056",TRUE,"IV",4
"127","groupIV","transcript",2899322,2903791,"-","ENSGACG00000016676","ENSGACT00000022067",TRUE,"IV",4
"128","groupIV","transcript",2934444,2936337,"+","ENSGACG00000016683","ENSGACT00000022071",TRUE,"IV",4
"129","groupIV","transcript",2940404,2972843,"-","ENSGACG00000016686","ENSGACT00000022074",TRUE,"IV",4
"130","groupIV","transcript",2960512,2961148,"+","ENSGACG00000016689","ENSGACT00000022076",TRUE,"IV",4
"131","groupIV","transcript",2961344,2962246,"-","ENSGACG00000016691","ENSGACT00000022077",TRUE,"IV",4
"132","groupIV","transcript",3066826,3068986,"+","ENSGACG00000016692","ENSGACT00000022078",TRUE,"IV",4
"133","groupIV","transcript",3152936,3154321,"+","ENSGACG00000016693","ENSGACT00000022080",TRUE,"IV",4
"134","groupIV","transcript",3155291,3161766,"-","ENSGACG00000016695","ENSGACT00000022082",TRUE,"IV",4
"135","groupIV","transcript",3157543,3161773,"-","ENSGACG00000016695","ENSGACT00000022083",TRUE,"IV",4
"136","groupIV","transcript",3195526,3204828,"-","ENSGACG00000016697","ENSGACT00000022087",TRUE,"IV",4
"137","groupIV","transcript",3195538,3201051,"-","ENSGACG00000016697","ENSGACT00000022093",TRUE,"IV",4
"138","groupIV","transcript",3195541,3204108,"-","ENSGACG00000016697","ENSGACT00000022095",TRUE,"IV",4
"139","groupIV","transcript",3219707,3229632,"-","ENSGACG00000016706","ENSGACT00000022099",TRUE,"IV",4
"140","groupIV","transcript",3219719,3229632,"-","ENSGACG00000016706","ENSGACT00000022102",TRUE,"IV",4
"141","groupIV","transcript",3234721,3236913,"-","ENSGACG00000016709","ENSGACT00000022106",TRUE,"IV",4
"142","groupIV","transcript",3297531,3301515,"+","ENSGACG00000016712","ENSGACT00000022108",TRUE,"IV",4
"143","groupIV","transcript",3324534,3326500,"-","ENSGACG00000016715","ENSGACT00000022115",TRUE,"IV",4
"144","groupIV","transcript",3327524,3329449,"+","ENSGACG00000016720","ENSGACT00000022116",TRUE,"IV",4
"145","groupIV","transcript",3331137,3335024,"+","ENSGACG00000016721","ENSGACT00000022120",TRUE,"IV",4
"146","groupIV","transcript",3335224,3340054,"-","ENSGACG00000016725","ENSGACT00000022125",TRUE,"IV",4
"147","groupIV","transcript",3335509,3340040,"-","ENSGACG00000016725","ENSGACT00000022129",TRUE,"IV",4
"148","groupIV","transcript",3340848,3411728,"+","ENSGACG00000016731","ENSGACT00000022134",TRUE,"IV",4
"149","groupIV","transcript",3512927,3533277,"-","ENSGACG00000016734","ENSGACT00000022136",TRUE,"IV",4
"150","groupIV","transcript",3590016,3672899,"+","ENSGACG00000016736","ENSGACT00000022144",TRUE,"IV",4
"151","groupIV","transcript",3799865,3801496,"-","ENSGACG00000016744","ENSGACT00000022145",TRUE,"IV",4
"152","groupIV","transcript",3807445,3810783,"-","ENSGACG00000016745","ENSGACT00000022149",TRUE,"IV",4
"153","groupIV","transcript",3811447,3818351,"+","ENSGACG00000016749","ENSGACT00000022151",TRUE,"IV",4
"154","groupIV","transcript",3819298,3820844,"+","ENSGACG00000016750","ENSGACT00000022153",TRUE,"IV",4
"155","groupIV","transcript",3822293,3824276,"+","ENSGACG00000016751","ENSGACT00000022155",TRUE,"IV",4
"156","groupIV","transcript",3822436,3824996,"+","ENSGACG00000016751","ENSGACT00000022158",TRUE,"IV",4
"157","groupIV","transcript",3831934,3835399,"-","ENSGACG00000016755","ENSGACT00000022161",TRUE,"IV",4
"158","groupIV","transcript",3841340,3853375,"-","ENSGACG00000016757","ENSGACT00000022169",TRUE,"IV",4
"159","groupIV","transcript",3843675,3849931,"-","ENSGACG00000016757","ENSGACT00000022171",TRUE,"IV",4
"160","groupIV","transcript",3859512,3862328,"-","ENSGACG00000016763","ENSGACT00000022181",TRUE,"IV",4
"161","groupIV","transcript",3862830,3869788,"+","ENSGACG00000016772","ENSGACT00000022207",TRUE,"IV",4
"162","groupIV","transcript",3871842,3879682,"-","ENSGACG00000016791","ENSGACT00000022210",TRUE,"IV",4
"163","groupIV","transcript",3892622,3899289,"+","ENSGACG00000016794","ENSGACT00000022213",TRUE,"IV",4
"164","groupIV","transcript",3949848,3953099,"-","ENSGACG00000016796","ENSGACT00000022215",TRUE,"IV",4
"165","groupIV","transcript",4031691,4035851,"+","ENSGACG00000016798","ENSGACT00000022220",TRUE,"IV",4
"166","groupIV","transcript",4037182,4046464,"-","ENSGACG00000016803","ENSGACT00000022228",TRUE,"IV",4
"167","groupIV","transcript",4054574,4063196,"+","ENSGACG00000016808","ENSGACT00000022230",TRUE,"IV",4
"168","groupIV","transcript",4157756,4168164,"+","ENSGACG00000016810","ENSGACT00000022231",TRUE,"IV",4
"169","groupIV","transcript",4184397,4203179,"-","ENSGACG00000016811","ENSGACT00000022237",TRUE,"IV",4
"170","groupIV","transcript",4186845,4203182,"-","ENSGACG00000016811","ENSGACT00000022238",TRUE,"IV",4
"171","groupIV","transcript",4205336,4209647,"+","ENSGACG00000016814","ENSGACT00000022241",TRUE,"IV",4
"172","groupIV","transcript",4205429,4209683,"+","ENSGACG00000016814","ENSGACT00000022245",TRUE,"IV",4
"173","groupIV","transcript",4278227,4298709,"-","ENSGACG00000016819","ENSGACT00000022247",TRUE,"IV",4
"174","groupIV","transcript",4365480,4370402,"+","ENSGACG00000016821","ENSGACT00000022248",TRUE,"IV",4
"175","groupIV","transcript",4365507,4369797,"+","ENSGACG00000016821","ENSGACT00000022252",TRUE,"IV",4
"176","groupIV","transcript",4393867,4436529,"+","ENSGACG00000016824","ENSGACT00000022256",TRUE,"IV",4
"177","groupIV","transcript",4442635,4450786,"+","ENSGACG00000016828","ENSGACT00000022258",TRUE,"IV",4
"178","groupIV","transcript",4454925,4470887,"-","ENSGACG00000016829","ENSGACT00000022280",TRUE,"IV",4
"179","groupIV","transcript",4455549,4466952,"-","ENSGACG00000016829","ENSGACT00000022283",TRUE,"IV",4
"180","groupIV","transcript",4455959,4466851,"-","ENSGACG00000016829","ENSGACT00000022289",TRUE,"IV",4
"181","groupIV","transcript",4486111,4492420,"+","ENSGACG00000016847","ENSGACT00000022290",TRUE,"IV",4
"182","groupIV","transcript",4494737,4499767,"+","ENSGACG00000016848","ENSGACT00000022296",TRUE,"IV",4
"183","groupIV","transcript",4494758,4499767,"+","ENSGACG00000016848","ENSGACT00000022299",TRUE,"IV",4
"184","groupIV","transcript",4507841,4555592,"-","ENSGACG00000016854","ENSGACT00000022301",TRUE,"IV",4
"185","groupIV","transcript",4683491,4689265,"+","ENSGACG00000016856","ENSGACT00000022304",TRUE,"IV",4
"186","groupIV","transcript",4692837,4696178,"-","ENSGACG00000016859","ENSGACT00000022307",TRUE,"IV",4
"187","groupIV","transcript",4822673,4891668,"-","ENSGACG00000016862","ENSGACT00000022314",TRUE,"IV",4
"188","groupIV","transcript",4822673,4838402,"-","ENSGACG00000016862","ENSGACT00000022316",TRUE,"IV",4
"189","groupIV","transcript",4897014,4904766,"-","ENSGACG00000016868","ENSGACT00000022318",TRUE,"IV",4
"190","groupIV","transcript",4897056,4904723,"-","ENSGACG00000016868","ENSGACT00000022321",TRUE,"IV",4
"191","groupIV","transcript",4898160,4904769,"-","ENSGACG00000016868","ENSGACT00000022329",TRUE,"IV",4
"192","groupIV","transcript",4906950,4919078,"-","ENSGACG00000016876","ENSGACT00000022332",TRUE,"IV",4
"193","groupIV","transcript",4928214,4939718,"-","ENSGACG00000016877","ENSGACT00000022343",TRUE,"IV",4
"194","groupIV","transcript",4943222,4986036,"+","ENSGACG00000016886","ENSGACT00000022352",TRUE,"IV",4
"195","groupIV","transcript",4968295,4980211,"+","ENSGACG00000016886","ENSGACT00000022353",TRUE,"IV",4
"196","groupIV","transcript",4958777,4996893,"+","ENSGACG00000016892","ENSGACT00000022356",TRUE,"IV",4
"197","groupIV","transcript",5002907,5014946,"+","ENSGACG00000016896","ENSGACT00000022362",TRUE,"IV",4
"198","groupIV","transcript",5018523,5021019,"+","ENSGACG00000016900","ENSGACT00000022363",TRUE,"IV",4
"199","groupIV","transcript",5025485,5026396,"-","ENSGACG00000016901","ENSGACT00000022364",TRUE,"IV",4
"200","groupIV","transcript",5032593,5036814,"+","ENSGACG00000016902","ENSGACT00000022366",TRUE,"IV",4
"201","groupIV","transcript",5039722,5043757,"+","ENSGACG00000016903","ENSGACT00000022381",TRUE,"IV",4
"202","groupIV","transcript",5045251,5062999,"+","ENSGACG00000016915","ENSGACT00000022386",TRUE,"IV",4
"203","groupIV","transcript",5066825,5072223,"+","ENSGACG00000016919","ENSGACT00000022390",TRUE,"IV",4
"204","groupIV","transcript",5083045,5165312,"-","ENSGACG00000016922","ENSGACT00000022392",TRUE,"IV",4
"205","groupIV","transcript",5143970,5146157,"+","ENSGACG00000016923","ENSGACT00000022393",TRUE,"IV",4
"206","groupIV","transcript",5166102,5217863,"+","ENSGACG00000016924","ENSGACT00000022397",TRUE,"IV",4
"207","groupIV","transcript",5166573,5217848,"+","ENSGACG00000016924","ENSGACT00000022399",TRUE,"IV",4
"208","groupIV","transcript",5215512,5220317,"-","ENSGACG00000016927","ENSGACT00000022402",TRUE,"IV",4
"209","groupIV","transcript",5218301,5219623,"-","ENSGACG00000016927","ENSGACT00000022405",TRUE,"IV",4
"210","groupIV","transcript",5218551,5220198,"-","ENSGACG00000016927","ENSGACT00000022407",TRUE,"IV",4
"211","groupIV","transcript",5221495,5223424,"+","ENSGACG00000016930","ENSGACT00000022409",TRUE,"IV",4
"212","groupIV","transcript",5221495,5223355,"+","ENSGACG00000016930","ENSGACT00000022411",TRUE,"IV",4
"213","groupIV","transcript",5235527,5237184,"+","ENSGACG00000016933","ENSGACT00000022412",TRUE,"IV",4
"214","groupIV","transcript",5239852,5249268,"+","ENSGACG00000016934","ENSGACT00000022439",TRUE,"IV",4
"215","groupIV","transcript",5250116,5266364,"+","ENSGACG00000016958","ENSGACT00000022450",TRUE,"IV",4
"216","groupIV","transcript",5268291,5271144,"+","ENSGACG00000016967","ENSGACT00000022452",TRUE,"IV",4
"217","groupIV","transcript",5268292,5271237,"+","ENSGACG00000016967","ENSGACT00000022455",TRUE,"IV",4
"218","groupIV","transcript",5273999,5278494,"+","ENSGACG00000016971","ENSGACT00000022458",TRUE,"IV",4
"219","groupIV","transcript",5282869,5286574,"-","ENSGACG00000016974","ENSGACT00000022461",TRUE,"IV",4
"220","groupIV","transcript",5291622,5293256,"-","ENSGACG00000016977","ENSGACT00000022462",TRUE,"IV",4
"221","groupIV","transcript",5306795,5308743,"+","ENSGACG00000016978","ENSGACT00000022464",TRUE,"IV",4
"222","groupIV","transcript",5310446,5314819,"-","ENSGACG00000016980","ENSGACT00000022484",TRUE,"IV",4
"223","groupIV","transcript",5310896,5314858,"-","ENSGACG00000016980","ENSGACT00000022491",TRUE,"IV",4
"224","groupIV","transcript",5322180,5326508,"-","ENSGACG00000016999","ENSGACT00000022495",TRUE,"IV",4
"225","groupIV","transcript",5333597,5336879,"-","ENSGACG00000017001","ENSGACT00000022497",TRUE,"IV",4
"226","groupIV","transcript",5338350,5340658,"+","ENSGACG00000017004","ENSGACT00000022499",TRUE,"IV",4
"227","groupIV","transcript",5341427,5345068,"-","ENSGACG00000017006","ENSGACT00000022502",TRUE,"IV",4
"228","groupIV","transcript",5347339,5349041,"-","ENSGACG00000017010","ENSGACT00000022507",TRUE,"IV",4
"229","groupIV","transcript",5350974,5353089,"+","ENSGACG00000017013","ENSGACT00000022508",TRUE,"IV",4
"230","groupIV","transcript",5352239,5355487,"-","ENSGACG00000017014","ENSGACT00000022509",TRUE,"IV",4
"231","groupIV","transcript",5360379,5367647,"+","ENSGACG00000017015","ENSGACT00000022511",TRUE,"IV",4
"232","groupIV","transcript",5370606,5372225,"+","ENSGACG00000017017","ENSGACT00000022513",TRUE,"IV",4
"233","groupIV","transcript",5378496,5379683,"+","ENSGACG00000017018","ENSGACT00000022517",TRUE,"IV",4
"234","groupIV","transcript",5382860,5384273,"+","ENSGACG00000017022","ENSGACT00000022522",TRUE,"IV",4
"235","groupIV","transcript",5387089,5394715,"+","ENSGACG00000017027","ENSGACT00000022526",TRUE,"IV",4
"236","groupIV","transcript",5387122,5394715,"+","ENSGACG00000017027","ENSGACT00000022529",TRUE,"IV",4
"237","groupIV","transcript",5400099,5402611,"-","ENSGACG00000017029","ENSGACT00000022532",TRUE,"IV",4
"238","groupIV","transcript",5441822,5443662,"+","ENSGACG00000017031","ENSGACT00000022533",TRUE,"IV",4
"239","groupIV","transcript",5444600,5449528,"-","ENSGACG00000017032","ENSGACT00000022543",TRUE,"IV",4
"240","groupIV","transcript",5453544,5459084,"-","ENSGACG00000017040","ENSGACT00000022555",TRUE,"IV",4
"241","groupIV","transcript",5461147,5461874,"-","ENSGACG00000017049","ENSGACT00000022557",TRUE,"IV",4
"242","groupIV","transcript",5465178,5468374,"-","ENSGACG00000017051","ENSGACT00000022566",TRUE,"IV",4
"243","groupIV","transcript",5465195,5469290,"-","ENSGACG00000017051","ENSGACT00000022570",TRUE,"IV",4
"244","groupIV","transcript",5465208,5469864,"-","ENSGACG00000017051","ENSGACT00000022572",TRUE,"IV",4
"245","groupIV","transcript",5471463,5474199,"+","ENSGACG00000017059","ENSGACT00000022575",TRUE,"IV",4
"246","groupIV","transcript",5477011,5477598,"-","ENSGACG00000017062","ENSGACT00000022578",TRUE,"IV",4
"247","groupIV","transcript",5480529,5484558,"+","ENSGACG00000017064","ENSGACT00000022586",TRUE,"IV",4
"248","groupIV","transcript",5480567,5484558,"+","ENSGACG00000017064","ENSGACT00000022591",TRUE,"IV",4
"249","groupIV","transcript",5485973,5494737,"+","ENSGACG00000017074","ENSGACT00000022593",TRUE,"IV",4
"250","groupIV","transcript",5510202,5514798,"+","ENSGACG00000017076","ENSGACT00000022594",TRUE,"IV",4
